ID,Year_Birth,Education,Income,Kidhome,Teenhome,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,Age,Total_Children,Total_Spend,Wine_Ratio,Meat_Ratio,Total_Purchases,Web_Purchase_Ratio,Spend_per_Purchase,Education_Grouped_Postgraduate,Education_Grouped_Undergraduate,Marital_Status_Married,Marital_Status_Single,Marital_Status_Together,Marital_Status_Widow,Customer_Tenure
6237,1966,PhD,7144.0,0,2,2013-12-07,92,81,4,33,5,2,291,0,23,1,1,0,0,0,0,0,0,0,0,48,2,416,0.19471153846153846,0.07932692307692307,25,0.92,16.64,1,0,0,1,0,0,204
4837,1965,PhD,71322.0,0,1,2013-02-16,57,753,43,226,69,10,204,2,8,5,13,4,0,0,0,0,0,0,0,49,1,1305,0.5770114942528736,0.1731800766283525,28,0.2857142857142857,46.607142857142854,1,0,1,0,0,0,498
3434,1951,Graduation,80872.0,0,0,2014-05-12,60,483,72,567,94,12,108,1,4,4,10,1,0,0,0,0,0,0,0,63,0,1336,0.3615269461077844,0.4244011976047904,19,0.21052631578947367,70.3157894736842,0,0,0,1,0,0,48
1131,1967,PhD,52569.0,0,1,2014-04-05,54,85,0,3,0,0,7,1,2,0,4,3,0,0,0,0,0,0,0,47,1,95,0.8947368421052632,0.031578947368421054,7,0.2857142857142857,13.571428571428571,1,0,0,1,0,0,85
737,1949,PhD,80360.0,0,0,2013-03-03,56,1493,86,454,112,43,43,2,4,4,5,2,0,1,1,1,0,0,0,65,0,2231,0.6692066337965038,0.20349619004930525,15,0.26666666666666666,148.73333333333332,1,0,1,0,0,0,483
3790,1956,Graduation,34633.0,2,1,2014-01-23,31,8,1,5,0,0,1,1,1,0,2,6,0,0,0,0,0,0,0,58,3,15,0.5333333333333333,0.3333333333333333,4,0.25,3.75,0,0,0,0,1,0,157
607,1955,2n Cycle,41769.0,0,1,2013-02-13,31,302,29,131,32,0,27,6,8,1,7,8,0,0,0,0,0,0,0,59,1,521,0.5796545105566219,0.2514395393474088,22,0.36363636363636365,23.681818181818183,0,1,0,0,0,0,501
3091,1981,2n Cycle,75774.0,1,0,2014-05-02,27,340,21,134,258,14,56,1,7,5,8,4,0,0,0,0,0,0,0,33,1,823,0.4131227217496962,0.16281895504252733,21,0.3333333333333333,39.19047619047619,0,1,0,0,1,0,58
6634,1979,Master,33462.0,1,0,2013-08-07,78,22,3,18,0,0,11,1,2,0,3,7,0,0,0,0,0,0,0,35,1,54,0.4074074074074074,0.3333333333333333,6,0.3333333333333333,9.0,1,0,0,0,0,0,326
5955,1962,Graduation,72025.0,0,0,2012-11-17,27,833,33,549,151,133,233,1,4,3,8,3,0,0,0,0,0,0,0,52,0,1932,0.4311594202898551,0.2841614906832298,16,0.25,120.75,0,0,0,0,1,0,589
692,1954,Graduation,36807.0,1,1,2012-12-20,88,4,2,5,0,0,5,1,1,0,2,6,0,0,0,0,0,0,0,60,2,16,0.25,0.3125,4,0.25,4.0,0,0,0,0,1,0,556
5068,1971,Graduation,22804.0,1,0,2013-07-31,75,14,1,7,2,1,1,1,2,0,2,9,0,0,0,0,0,0,0,43,1,26,0.5384615384615384,0.2692307692307692,5,0.4,5.2,0,0,0,1,0,0,333
8687,1978,Graduation,53172.0,0,1,2013-05-06,54,121,62,90,68,20,125,3,2,3,8,3,0,0,0,0,0,0,0,36,1,486,0.24897119341563786,0.18518518518518517,16,0.125,30.375,0,0,0,0,1,0,419
7196,1950,PhD,41145.0,1,1,2014-02-08,20,9,0,3,0,0,1,1,0,0,3,3,0,0,0,0,0,0,0,64,2,13,0.6923076923076923,0.23076923076923078,4,0.0,3.25,1,0,1,0,0,0,141
7899,1952,PhD,77610.0,0,1,2012-10-29,70,1245,33,332,21,33,16,2,4,7,4,7,0,0,0,0,0,0,0,62,1,1680,0.7410714285714286,0.1976190476190476,17,0.23529411764705882,98.82352941176471,1,0,1,0,0,0,608
9058,1955,Graduation,79800.0,0,0,2012-09-23,65,1060,21,530,32,0,224,1,5,11,5,3,1,0,1,1,0,0,1,59,0,1867,0.5677557579003749,0.28387787895018746,22,0.22727272727272727,84.86363636363636,0,0,0,0,0,1,644
10448,1956,Graduation,46998.0,0,1,2012-10-22,55,172,41,86,45,6,27,5,5,3,5,7,1,0,0,0,0,0,0,58,1,377,0.4562334217506631,0.22811671087533156,18,0.2777777777777778,20.944444444444443,0,0,0,1,0,0,615
11031,1950,PhD,48699.0,1,1,2013-05-21,90,26,1,10,2,0,1,1,1,0,3,5,0,0,0,0,0,0,0,64,2,40,0.65,0.25,5,0.2,8.0,1,0,1,0,0,0,404
